profile_id,archetype,seed,algorithm,raw_hv,nHV
COST_0008,cost_sensitive,1,canonical-NSGA-III,0.00010189490137484587,0.4431353759336203
COST_0008,cost_sensitive,1,NSGA-II,9.950236816423175e-05,0.43273037932030706
COST_0008,cost_sensitive,2,PI-NSGA-III,3.157808603383405e-05,0.13733137612439664
COST_0008,cost_sensitive,2,canonical-NSGA-III,3.205738785831578e-05,0.1394158336518251
COST_0008,cost_sensitive,2,NSGA-II,3.3927752439175476e-05,0.1475499473365045
COST_0008,cost_sensitive,3,PI-NSGA-III,3.9858490015433676e-05,0.1733424020124321
COST_0008,cost_sensitive,3,canonical-NSGA-III,3.9644357487123524e-05,0.1724111513104636
COST_0008,cost_sensitive,3,NSGA-II,4.415097478167252e-05,0.19201018445209556
COST_0008,cost_sensitive,4,PI-NSGA-III,7.52953330217398e-05,0.3274553020262568
COST_0008,cost_sensitive,4,canonical-NSGA-III,5.778781676019896e-05,0.2513160674272517
COST_0008,cost_sensitive,4,NSGA-II,7.675601095781927e-05,0.33380771080813826
COST_0009,cost_sensitive,1,PI-NSGA-III,1.3859816824983554e-05,0.6616573846087599
COST_0009,cost_sensitive,1,canonical-NSGA-III,1.597783262928401e-05,0.7627698895812145
COST_0009,cost_sensitive,1,NSGA-II,1.632465677278061e-05,0.7793270171827479
COST_0009,cost_sensitive,0,PI-NSGA-III,6.127196945238109e-06,0.29250784169536387
COST_0009,cost_sensitive,0,canonical-NSGA-III,6.118752974033114e-06,0.29210473276731963
COST_0009,cost_sensitive,0,NSGA-II,7.01520082559209e-06,0.3349004889010849
COST_0009,cost_sensitive,3,PI-NSGA-III,1.4536334560233502e-05,0.6939538399659506
COST_0009,cost_sensitive,3,canonical-NSGA-III,1.4757869218828558e-05,0.7045297404022375
COST_0009,cost_sensitive,3,NSGA-II,1.607941382239317e-05,0.7676193004649781
COST_0009,cost_sensitive,2,PI-NSGA-III,2.0182384960098135e-05,0.9634921021318439
COST_0009,cost_sensitive,2,canonical-NSGA-III,1.992093346640454e-05,0.9510106015677438
COST_0009,cost_sensitive,2,NSGA-II,2.0947120288212165e-05,1.0
COST_0009,cost_sensitive,4,PI-NSGA-III,1.8363816807094587e-05,0.876675006130971
COST_0009,cost_sensitive,4,canonical-NSGA-III,1.8883670458170592e-05,0.9014924342033418
COST_0009,cost_sensitive,4,NSGA-II,1.9416989623272698e-05,0.9269526959368951
TIME_0010,time_sensitive,0,PI-NSGA-III,2.4528557088503637e-05,0.29213974936285936
TIME_0010,time_sensitive,0,canonical-NSGA-III,2.599787287788099e-05,0.30963957802765985
TIME_0010,time_sensitive,0,NSGA-II,2.6059118267272012e-05,0.31036902218704376
TIME_0010,time_sensitive,1,PI-NSGA-III,2.0526454614024942e-05,0.24447395273242206
TIME_0010,time_sensitive,1,canonical-NSGA-III,2.273474797190134e-05,0.2707751438608658
TIME_0010,time_sensitive,1,NSGA-II,2.317738903467605e-05,0.2760470825513533
TIME_0010,time_sensitive,2,PI-NSGA-III,2.6473104725450963e-05,0.31529967912277934
TIME_0010,time_sensitive,2,canonical-NSGA-III,2.6480564398964007e-05,0.31538852524375444
TIME_0010,time_sensitive,2,NSGA-II,2.7951686550456555e-05,0.33290986802264194
TIME_0010,time_sensitive,3,PI-NSGA-III,1.9883889452881118e-05,0.23682088025659165
TIME_0010,time_sensitive,3,canonical-NSGA-III,2.198999673803166e-05,0.26190501595177884
TIME_0010,time_sensitive,3,NSGA-II,2.311177504576266e-05,0.2752656075462524
TIME_0010,time_sensitive,4,PI-NSGA-III,8.020391285204798e-05,0.9552437558383629
TIME_0010,time_sensitive,4,canonical-NSGA-III,8.191688282210266e-05,0.9756455518311823
TIME_0010,time_sensitive,4,NSGA-II,8.396172428435044e-05,1.0
TIME_0011,time_sensitive,0,PI-NSGA-III,0.10125906110320762,0.3800518861175816
TIME_0011,time_sensitive,0,canonical-NSGA-III,0.09821784098260611,0.3686373872041927
TIME_0011,time_sensitive,0,NSGA-II,0.11133401980870461,0.4178658557205408
TIME_0011,time_sensitive,1,PI-NSGA-III,0.0753042212647852,0.28263654642350544
TIME_0011,time_sensitive,1,canonical-NSGA-III,0.0779487202017865,0.2925620464024051
TIME_0011,time_sensitive,1,NSGA-II,0.07656350375798399,0.2873629647951635
TIME_0011,time_sensitive,2,PI-NSGA-III,0.20070702580875288,0.7533062511602762
TIME_0011,time_sensitive,2,canonical-NSGA-III,0.1840289708053549,0.6907091246240774
TIME_0011,time_sensitive,2,NSGA-II,0.2138377110589205,0.8025891661011537
TIME_0011,time_sensitive,3,PI-NSGA-III,0.24059119811059845,0.9030020388202592
TIME_0011,time_sensitive,3,canonical-NSGA-III,0.242009121092331,0.9083238766657401
TIME_0011,time_sensitive,3,NSGA-II,0.25161746099251325,0.9443865031777631
TIME_0011,time_sensitive,4,PI-NSGA-III,0.2512327883263341,0.9429427254977562
TIME_0011,time_sensitive,4,canonical-NSGA-III,0.2511221894063516,0.9425276186650049
TIME_0011,time_sensitive,4,NSGA-II,0.2664348337739331,1.0
TIME_0012,time_sensitive,0,PI-NSGA-III,1.336354159656558e-06,0.9210547450094017
TIME_0012,time_sensitive,0,canonical-NSGA-III,1.3364310638184894e-06,0.9211077496285335
TIME_0012,time_sensitive,0,NSGA-II,1.4508954727147269e-06,1.0
TIME_0012,time_sensitive,1,PI-NSGA-III,6.214814523154776e-07,0.4283433672534951
TIME_0012,time_sensitive,1,canonical-NSGA-III,6.710483088702706e-07,0.46250630833845824
TIME_0012,time_sensitive,1,NSGA-II,6.93824607467387e-07,0.47820440584130613
TIME_0012,time_sensitive,2,PI-NSGA-III,1.253046210925355e-06,0.8636364469321955
TIME_0012,time_sensitive,2,canonical-NSGA-III,1.2870644984591519e-06,0.8870828551494232
TIME_0012,time_sensitive,2,NSGA-II,1.3547761291595245e-06,0.9337517103314436
TIME_0012,time_sensitive,3,PI-NSGA-III,1.036965717425763e-06,0.7147073906609741
TIME_0012,time_sensitive,3,canonical-NSGA-III,1.0590933911602332e-06,0.7299584367567123
TIME_0012,time_sensitive,3,NSGA-II,1.1213164633219952e-06,0.772844415334713
TIME_0012,time_sensitive,4,PI-NSGA-III,1.3308810837696719e-06,0.9172825395061026
TIME_0012,time_sensitive,4,canonical-NSGA-III,1.320967455150213e-06,0.9104497739444941
TIME_0012,time_sensitive,4,NSGA-II,1.3912563144401603e-06,0.958894931167593
TIME_0013,time_sensitive,0,PI-NSGA-III,5.0999687456450724e-05,0.24888424721631475
TIME_0013,time_sensitive,0,canonical-NSGA-III,5.478018943172335e-05,0.2673335247539266
TIME_0013,time_sensitive,0,NSGA-II,5.7629901736254954e-05,0.28124044334636017
TIME_0013,time_sensitive,1,PI-NSGA-III,0.00015495799307194746,0.7562125452003028
TIME_0013,time_sensitive,1,canonical-NSGA-III,0.00016224407032707319,0.7917694268841436
TIME_0013,time_sensitive,1,NSGA-II,0.0001684535508325066,0.8220723945742663
TIME_0013,time_sensitive,2,PI-NSGA-III,0.0002024026365248623,0.9877477752996707
TIME_0013,time_sensitive,2,canonical-NSGA-III,0.00019838792275805514,0.9681555177099747
TIME_0013,time_sensitive,2,NSGA-II,0.00020491328007644035,1.0
TIME_0013,time_sensitive,3,PI-NSGA-III,4.919757322052093e-05,0.2400897257716454
TIME_0013,time_sensitive,3,canonical-NSGA-III,5.272441167827966e-05,0.25730109663273887
TIME_0013,time_sensitive,3,NSGA-II,5.414431913287344e-05,0.26423040572419504
TIME_0013,time_sensitive,4,PI-NSGA-III,0.00015159685044925197,0.739809788768696
TIME_0013,time_sensitive,4,canonical-NSGA-III,0.00014941426938406692,0.729158546133905
TIME_0013,time_sensitive,4,NSGA-II,0.00015499393507413013,0.7563879462390704
TIME_0014,time_sensitive,0,PI-NSGA-III,3.1182274359586627e-06,0.9526066187847178
TIME_0014,time_sensitive,0,canonical-NSGA-III,3.0972204230372862e-06,0.9461890562557526
TIME_0014,time_sensitive,0,NSGA-II,3.27336318525345e-06,1.0
TIME_0014,time_sensitive,1,PI-NSGA-III,1.847226914322463e-06,0.5643207947850846
TIME_0014,time_sensitive,1,canonical-NSGA-III,1.8417839525689303e-06,0.5626579906764377
TIME_0014,time_sensitive,1,NSGA-II,1.949806333126912e-06,0.5956584169794598
TIME_0014,time_sensitive,2,PI-NSGA-III,2.4208322824250307e-06,0.7395550525315725
TIME_0014,time_sensitive,2,canonical-NSGA-III,2.461864633749254e-06,0.7520902797587481
TIME_0014,time_sensitive,2,NSGA-II,2.6057116297829634e-06,0.7960349897994006
TIME_0014,time_sensitive,3,PI-NSGA-III,1.9191301104761754e-06,0.5862869476634567
TIME_0014,time_sensitive,3,canonical-NSGA-III,1.99912469626224e-06,0.6107249892918472
TIME_0014,time_sensitive,3,NSGA-II,2.043666477062322e-06,0.6243323338727184
TIME_0014,time_sensitive,4,PI-NSGA-III,2.318627971850436e-06,0.7083320244743662
TIME_0014,time_sensitive,4,canonical-NSGA-III,2.2944885360884037e-06,0.700957518684486
TIME_0014,time_sensitive,4,NSGA-II,2.4090102753718655e-06,0.7359434743521565
COMF_0015,comfort_seeker,0,PI-NSGA-III,8.365847092272917e-06,0.46522465871485535
COMF_0015,comfort_seeker,0,canonical-NSGA-III,8.00110603283781e-06,0.44494141267612214
COMF_0015,comfort_seeker,0,NSGA-II,8.721111465090877e-06,0.48498090632191965
COMF_0015,comfort_seeker,1,PI-NSGA-III,1.251070481849523e-05,0.6957201482731649
COMF_0015,comfort_seeker,1,canonical-NSGA-III,1.2215402900834895e-05,0.6792984120943787
COMF_0015,comfort_seeker,1,NSGA-II,1.314684531621556e-05,0.7310959138928821
COMF_0015,comfort_seeker,2,PI-NSGA-III,1.432531858068869e-05,0.7966307983130726
COMF_0015,comfort_seeker,2,canonical-NSGA-III,1.3278472111445878e-05,0.7384156784323649
COMF_0015,comfort_seeker,2,NSGA-II,1.4764745885346654e-05,0.8210673455729806
COMF_0015,comfort_seeker,3,PI-NSGA-III,1.360064703724144e-05,0.7563318222784751
COMF_0015,comfort_seeker,3,canonical-NSGA-III,1.3280444271759318e-05,0.7385253502442725
COMF_0015,comfort_seeker,3,NSGA-II,1.4176713948849863e-05,0.7883668964788495
COMF_0015,comfort_seeker,4,PI-NSGA-III,1.7741953028578507e-05,0.9866297999014589
COMF_0015,comfort_seeker,4,canonical-NSGA-III,1.6837446162254936e-05,0.9363301836702113
COMF_0015,comfort_seeker,4,NSGA-II,1.798238106162059e-05,1.0
COMF_0016,comfort_seeker,0,PI-NSGA-III,7.241692695931162e-06,0.8282595665170193
COMF_0016,comfort_seeker,0,canonical-NSGA-III,7.675633195292118e-06,0.877890969696669
COMF_0016,comfort_seeker,0,NSGA-II,7.812217866235956e-06,0.8935126710169108
COMF_0016,comfort_seeker,1,PI-NSGA-III,7.873847778721511e-06,0.900561515360782
COMF_0016,comfort_seeker,1,canonical-NSGA-III,8.07337539967331e-06,0.9233822380532215
COMF_0016,comfort_seeker,1,NSGA-II,8.743264779160698e-06,1.0
COMF_0016,comfort_seeker,2,PI-NSGA-III,6.064985187301904e-06,0.6936751134150265
COMF_0016,comfort_seeker,2,canonical-NSGA-III,6.193512081258449e-06,0.7083752165461686
COMF_0016,comfort_seeker,2,NSGA-II,6.311497398076776e-06,0.7218696399450277
COMF_0016,comfort_seeker,3,PI-NSGA-III,8.387121443801023e-06,0.9592665503841846
COMF_0016,comfort_seeker,3,canonical-NSGA-III,7.70632581308294e-06,0.8814013995608059
COMF_0016,comfort_seeker,3,NSGA-II,8.385543809115027e-06,0.9590861103854148
COMF_0016,comfort_seeker,4,PI-NSGA-III,7.980376936862263e-06,0.9127456549049328
COMF_0016,comfort_seeker,4,canonical-NSGA-III,8.235379722887423e-06,0.941911280385354
COMF_0016,comfort_seeker,4,NSGA-II,8.741481982500025e-06,0.9997960948563605
COMF_0017,comfort_seeker,0,PI-NSGA-III,1.0527362857327448e-05,0.9510803166546139
COMF_0017,comfort_seeker,0,canonical-NSGA-III,1.029695743314776e-05,0.9302646511591255
COMF_0017,comfort_seeker,0,NSGA-II,1.1068847365443348e-05,1.0
COMF_0017,comfort_seeker,1,PI-NSGA-III,6.555634905968359e-06,0.5922599426598726
