generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
129,5651.186043860645,,0.06689809736219819,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
130,5650.630904815409,,0.0667252097182922,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
131,5650.702585176791,,0.07098171545928308,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
132,5652.5135943527785,,0.06826646780992937,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
133,5650.610693601094,,0.0684273389696913,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
134,5651.207373927944,,0.07076265013998258,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
135,5650.63172284862,,0.06358236151804185,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
136,5659.099357628944,,0.06731475003270243,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
137,5644.622011378355,,0.07219626531685541,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
138,5645.222009555753,,0.077906319639873,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
139,5646.623504486418,,0.07844957891192059,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
140,5649.570190540221,,0.06327397288996094,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
141,5653.998151946432,,0.07829270532809675,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
142,5672.093071009929,,0.07647326090863023,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
143,5672.589809792971,,0.06921933775343901,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
144,5670.996327259984,,0.061912763612063104,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
145,5672.101348260338,,0.06270088641581477,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
146,5661.547174882142,,0.06020543076752071,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
147,5660.949956601189,,0.06618007469894734,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
148,5667.721792633663,,0.06491319138852705,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
149,5669.17399915474,,0.06722808111156844,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
150,5663.456917004858,,0.07432591206971777,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
