generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
128,6549.627390131394,,0.0941470820866738,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
129,6550.493949834692,,0.08410266680159496,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
130,6548.791423785628,,0.08552153822373891,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
131,6549.300930361645,,0.0699634706029589,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
132,6550.589162462507,,0.08711102407767768,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
133,6549.005128351484,,0.08641545125471474,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
134,6550.551031523872,,0.09252328200580723,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
135,6550.26164201889,,0.07551652011773892,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
136,6551.826602975116,,0.08508194840756722,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
137,6552.814129286851,,0.07198908058092451,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
138,6552.88497346745,,0.08218607113011749,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
139,6551.387579269945,,0.08754092406894752,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
140,6550.773997093417,,0.08072961509984816,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
141,6551.101839424291,,0.07667174718289381,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
142,6551.428701816893,,0.06819191467179371,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
143,6550.947675310471,,0.0838670049939616,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
144,6549.798098479057,,0.09864386023648691,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
145,6551.754494688292,,0.09941039873104823,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
146,6554.41718265829,,0.07865934852560612,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
147,6551.2296791729605,,0.07650022262923648,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
148,6554.02112360869,,0.07100223475588281,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
149,6553.905537823868,,0.08497604830003638,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
150,6552.641985644144,,0.09401055688776161,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
