profile_id,n_pairs,mean_diff_N3_minus_N2,std_diff,paired_dz,wilcoxon_p,winner
STU_0328,30,0.021319709146951596,0.00996681999085464,2.1390683454215234,1.862645149230957e-09,NSGA-III
STU_0484,30,0.01969273132459854,0.009198231553717826,2.140925808357037,1.862645149230957e-09,NSGA-III
STU_0720,30,0.02454586899519085,0.011388829901625925,2.1552581966024937,3.725290298461914e-09,NSGA-III
STU_0468,30,0.01085931637354433,0.00499819286916699,2.172648526737258,3.725290298461914e-09,NSGA-III
STU_0515,30,0.021119865105326426,0.009668239824837449,2.184458131775968,1.862645149230957e-09,NSGA-III
STU_0456,30,0.021914416033307016,0.0099864701731691,2.194410602875982,1.862645149230957e-09,NSGA-III
STU_0215,30,0.03588406326495372,0.016229538118347393,2.2110341651921077,1.862645149230957e-09,NSGA-III
STU_0537,30,0.07953730461342103,0.035594035540034576,2.234568331650988,1.862645149230957e-09,NSGA-III
STU_0170,30,0.02131699112841231,0.009521030176554294,2.2389374608753765,1.862645149230957e-09,NSGA-III
STU_0433,30,0.026895861903785526,0.01182269664130349,2.274934621076446,1.862645149230957e-09,NSGA-III
STU_0598,30,0.024206325886174197,0.01062275849320891,2.278723167965196,1.862645149230957e-09,NSGA-III
STU_0362,30,0.019713687509309054,0.008428263153657795,2.338997626189861,1.862645149230957e-09,NSGA-III
STU_0502,30,0.019747239787154442,0.008421493404341108,2.3448619905081376,1.862645149230957e-09,NSGA-III
STU_0023,30,0.037436089915372076,0.015809352074484053,2.367971169153295,1.862645149230957e-09,NSGA-III
STU_0443,30,0.017897794159849156,0.007551797995165673,2.370004358075591,1.862645149230957e-09,NSGA-III
STU_0281,30,0.006662953853213483,0.0028059335470012204,2.3745943165098717,1.862645149230957e-09,NSGA-III
STU_0311,30,0.00910133280779066,0.003801810963383987,2.3939466994670284,3.725290298461914e-09,NSGA-III
STU_0632,30,0.01614422785506716,0.006706099827281815,2.407394502149978,1.862645149230957e-09,NSGA-III
STU_0617,30,0.016136739189524036,0.006530343194913809,2.4710399909903997,1.862645149230957e-09,NSGA-III
STU_0602,30,0.01720812148213778,0.006902356741691588,2.4930791215408146,1.862645149230957e-09,NSGA-III
STU_0139,30,0.020029822528922835,0.007864657952863265,2.546814197002761,1.862645149230957e-09,NSGA-III
STU_0091,30,0.021841230605442682,0.008160420539065542,2.6764834607339663,1.862645149230957e-09,NSGA-III
STU_0375,30,0.07120092592717239,0.026430497178937588,2.693892795324042,1.862645149230957e-09,NSGA-III
STU_0076,30,0.028821457666947835,0.010572695601209603,2.7260273778855817,1.862645149230957e-09,NSGA-III
STU_0630,30,0.03780389577033169,0.013541018511810091,2.791805929322097,1.862645149230957e-09,NSGA-III
STU_0710,30,0.024469681138819345,0.008492793007952696,2.881228956823251,1.862645149230957e-09,NSGA-III
STU_0047,30,0.032006759236431113,0.011023847412495867,2.903410945270385,1.862645149230957e-09,NSGA-III
STU_0726,30,0.021163710532178283,0.007228431709640042,2.9278426334101986,1.862645149230957e-09,NSGA-III
STU_0155,30,0.04104370091243414,0.01397689294018019,2.9365396936284327,1.862645149230957e-09,NSGA-III
STU_0287,30,0.024069499411522678,0.008166523116165343,2.9473374493825846,1.862645149230957e-09,NSGA-III
STU_0176,30,0.01363458765944437,0.004605354187564562,2.9605947999093454,1.862645149230957e-09,NSGA-III
STU_0142,30,0.03420944931699287,0.011509321162120967,2.9723255468429963,1.862645149230957e-09,NSGA-III
STU_0045,30,0.03903689604470397,0.013079169234111046,2.9846617431093434,1.862645149230957e-09,NSGA-III
STU_0466,30,0.03134581236494486,0.01047072604686519,2.9936617790061866,1.862645149230957e-09,NSGA-III
STU_0226,30,0.039663777439882815,0.012936682033297803,3.0659930682219736,1.862645149230957e-09,NSGA-III
STU_0649,30,0.033334656871197826,0.010721023572722291,3.1092793188154015,1.862645149230957e-09,NSGA-III
STU_0359,30,0.019411384282740748,0.006231358424077732,3.1151127830708463,1.862645149230957e-09,NSGA-III
STU_0036,30,0.019378265548305754,0.006183695951961905,3.133767523313885,1.862645149230957e-09,NSGA-III
