plan,profile_id,algo_a,algo_b,n,mean_diff,cohen_dz_per_profile
main_nsga2_vs_nsga3_150profiles,STU_0726,nsga2,nsga3,30,-0.021163710532178283,-2.9278426334101986
main_nsga2_vs_nsga3_150profiles,STU_0730,nsga2,nsga3,30,-0.008460591464551656,-1.2829695009411177
main_nsga2_vs_nsga3_150profiles,STU_0740,nsga2,nsga3,30,-0.027438542324946417,-1.585514673358138
main_nsga2_vs_nsga3_150profiles,STU_0748,nsga2,nsga3,30,-0.009062553459073837,-0.5176583574599085
main_nsga2_vs_nsga3_150profiles,STU_0749,nsga2,nsga3,30,-6.17219330883656e-05,-0.008085551703625644
extended_benchmark_30profiles,STU_0023,moead,nsga2,10,-0.7710034573056529,-6.1345100784858735
extended_benchmark_30profiles,STU_0023,moead,nsga3,10,-0.802763602652696,-6.26584189159584
extended_benchmark_30profiles,STU_0023,moead,smsemoa,5,-0.704499547508464,-4.367505300172991
extended_benchmark_30profiles,STU_0023,nsga2,nsga3,10,-0.03176014534704312,-1.8345887016455271
extended_benchmark_30profiles,STU_0023,nsga2,smsemoa,5,0.003484002091396543,0.1931510010518925
extended_benchmark_30profiles,STU_0023,nsga3,smsemoa,5,0.03176130642585036,5.771059327208632
extended_benchmark_30profiles,STU_0027,moead,nsga2,10,-0.8545487775741881,-38.24904542753555
extended_benchmark_30profiles,STU_0027,moead,nsga3,10,-0.8508122167694477,-30.712319989137747
extended_benchmark_30profiles,STU_0027,moead,smsemoa,5,-0.8468556363691275,-71.90684615894214
extended_benchmark_30profiles,STU_0027,nsga2,nsga3,10,0.003736560804740341,0.5063389633117171
extended_benchmark_30profiles,STU_0027,nsga2,smsemoa,5,0.010585538987181686,1.0826763575269103
extended_benchmark_30profiles,STU_0027,nsga3,smsemoa,5,0.005888121586958372,0.48319216963125494
extended_benchmark_30profiles,STU_0030,moead,nsga2,10,-0.7511457768930087,-23.7048280489349
extended_benchmark_30profiles,STU_0030,moead,nsga3,10,-0.8249508437873834,-45.34729740463126
extended_benchmark_30profiles,STU_0030,moead,smsemoa,5,-0.8009626082313879,-29.314075522523844
extended_benchmark_30profiles,STU_0030,nsga2,nsga3,10,-0.0738050668943748,-2.7276343068848674
extended_benchmark_30profiles,STU_0030,nsga2,smsemoa,5,-0.049775035225055754,-2.1919111475742503
extended_benchmark_30profiles,STU_0030,nsga3,smsemoa,5,0.021421663598805284,2.4195418147119105
extended_benchmark_30profiles,STU_0036,moead,nsga2,10,-0.6336716519735293,-6.82499837991644
extended_benchmark_30profiles,STU_0036,moead,nsga3,10,-0.6518551150092575,-7.049440165884648
extended_benchmark_30profiles,STU_0036,moead,smsemoa,5,-0.5277819676668327,-2.9954365550356066
extended_benchmark_30profiles,STU_0036,nsga2,nsga3,10,-0.018183463035728244,-2.6210169840491866
extended_benchmark_30profiles,STU_0036,nsga2,smsemoa,5,0.07880450961357074,1.215321792311934
extended_benchmark_30profiles,STU_0036,nsga3,smsemoa,5,0.10047363569410603,1.4764820790248023
extended_benchmark_30profiles,STU_0076,moead,nsga2,10,-0.7493922452925302,-6.5336967413581375
extended_benchmark_30profiles,STU_0076,moead,nsga3,10,-0.7848147081343096,-6.988380384481841
extended_benchmark_30profiles,STU_0076,moead,smsemoa,5,-0.611934188846341,-3.502202919884992
extended_benchmark_30profiles,STU_0076,nsga2,nsga3,10,-0.0354224628417796,-3.1588901480115474
extended_benchmark_30profiles,STU_0076,nsga2,smsemoa,5,0.1049317130701048,3.6134088684640946
extended_benchmark_30profiles,STU_0076,nsga3,smsemoa,5,0.13965540296013285,3.8966918285063508
extended_benchmark_30profiles,STU_0081,moead,nsga2,10,-0.6252636506611691,-15.404960974308151
extended_benchmark_30profiles,STU_0081,moead,nsga3,10,-0.6405875595725817,-18.211576197042927
extended_benchmark_30profiles,STU_0081,moead,smsemoa,5,-0.5701456282413725,-23.184086648408243
extended_benchmark_30profiles,STU_0081,nsga2,nsga3,10,-0.015323908911412488,-2.240511023707707
extended_benchmark_30profiles,STU_0081,nsga2,smsemoa,5,0.056569893534882974,3.897447114751268
extended_benchmark_30profiles,STU_0081,nsga3,smsemoa,5,0.07142183993356388,6.71617694949632
extended_benchmark_30profiles,STU_0127,moead,nsga2,10,-0.6245596406757795,-3.904865518560813
extended_benchmark_30profiles,STU_0127,moead,nsga3,10,-0.6756485836140331,-4.096910086312216
extended_benchmark_30profiles,STU_0127,moead,smsemoa,5,-0.7101339539729776,-4.855278466748238
extended_benchmark_30profiles,STU_0127,nsga2,nsga3,10,-0.05108894293825354,-2.5342126104337885
extended_benchmark_30profiles,STU_0127,nsga2,smsemoa,5,-0.02547026784816415,-1.1917013500014582
extended_benchmark_30profiles,STU_0127,nsga3,smsemoa,5,0.02946333676258841,2.884256997138098
extended_benchmark_30profiles,STU_0132,moead,nsga2,10,-0.8395138350108988,-27.88634725472056
extended_benchmark_30profiles,STU_0132,moead,nsga3,10,-0.8588868613936143,-32.34497176362598
extended_benchmark_30profiles,STU_0132,moead,smsemoa,5,-0.8402166831617827,-23.18502753898725
extended_benchmark_30profiles,STU_0132,nsga2,nsga3,10,-0.01937302638271553,-1.8264278421208535
extended_benchmark_30profiles,STU_0132,nsga2,smsemoa,5,-0.0012538896191313764,-0.08701126637649462
extended_benchmark_30profiles,STU_0132,nsga3,smsemoa,5,0.012048649845060511,1.5137031257300353
extended_benchmark_30profiles,STU_0171,moead,nsga2,10,-0.7202554530591029,-14.075472562927978
extended_benchmark_30profiles,STU_0171,moead,nsga3,10,-0.7346826154120152,-16.471790896238375
extended_benchmark_30profiles,STU_0171,moead,smsemoa,5,-0.682121736210715,-18.744547057765594
extended_benchmark_30profiles,STU_0171,nsga2,nsga3,10,-0.01442716235291246,-1.018363349732057
extended_benchmark_30profiles,STU_0171,nsga2,smsemoa,5,0.030541656076959977,0.5837517073229169
extended_benchmark_30profiles,STU_0171,nsga3,smsemoa,5,0.04279747233601587,1.2014276867181553
extended_benchmark_30profiles,STU_0175,moead,nsga2,10,-0.7063314611793473,-4.022203347706766
extended_benchmark_30profiles,STU_0175,moead,nsga3,10,-0.7018190271838337,-4.156749058205847
extended_benchmark_30profiles,STU_0175,moead,smsemoa,5,-0.7374328231625372,-3.8098571802062517
extended_benchmark_30profiles,STU_0175,nsga2,nsga3,10,0.004512433995513499,0.44714760694690364
extended_benchmark_30profiles,STU_0175,nsga2,smsemoa,5,0.005447963958069168,0.43903557150932376
extended_benchmark_30profiles,STU_0175,nsga3,smsemoa,5,0.0009730094702376846,0.46357657608224034
extended_benchmark_30profiles,STU_0182,moead,nsga2,10,-0.7998429005182006,-13.01106506574211
extended_benchmark_30profiles,STU_0182,moead,nsga3,10,-0.8054400815017649,-13.249589868125229
extended_benchmark_30profiles,STU_0182,moead,smsemoa,5,-0.7904142180111691,-18.333858263899767
extended_benchmark_30profiles,STU_0182,nsga2,nsga3,10,-0.005597180983564265,-1.041794238901344
extended_benchmark_30profiles,STU_0182,nsga2,smsemoa,5,0.00818969773001763,4.7382380194565155
extended_benchmark_30profiles,STU_0182,nsga3,smsemoa,5,0.015096729886415616,2.3825962218014203
extended_benchmark_30profiles,STU_0197,moead,nsga2,10,-0.6298795531567059,-2.9060724862239065
extended_benchmark_30profiles,STU_0197,moead,nsga3,10,-0.6718671601419665,-3.351772886076971
extended_benchmark_30profiles,STU_0197,moead,smsemoa,5,-0.6078083144843486,-2.6241357983810554
extended_benchmark_30profiles,STU_0197,nsga2,nsga3,10,-0.041987606985260606,-1.96669410906125
extended_benchmark_30profiles,STU_0197,nsga2,smsemoa,5,-0.025027763236387134,-0.867010029760546
extended_benchmark_30profiles,STU_0197,nsga3,smsemoa,5,0.02268304148428506,1.2524294198204216
extended_benchmark_30profiles,STU_0217,moead,nsga2,10,-0.8495629596062445,-37.04173499952211
extended_benchmark_30profiles,STU_0217,moead,nsga3,10,-0.8563605422870495,-43.595354576103475
extended_benchmark_30profiles,STU_0217,moead,smsemoa,5,-0.843426037684418,-32.0071096719182
